hold_days,exit_price,exit_reason,pnl_pct,max_profit,max_drawdown,stock_code,signal_date,signal_type,entry_price,wave_gain,consolidation_drawdown,industry,sector_momentum,sector_strong,market_regime,index_code,_hold_bin
8,4.54,trailing_stop,0.11002444987775066,0.20782396088019572,-0.012224938875305581,sh.600067,2025-11-28,bullish_engulfing,4.09,0.23490443821645535,0.14317673378076057,银行/金融,0.0007623308611444349,False,bear,sh.000300,6-10天
13,4.26,trailing_stop,0.26409495548961415,0.4005934718100889,0.020771513353115677,sh.600076,2025-12-31,bullish_engulfing,3.37,0.21030927476035455,0.07017543859649117,银行/金融,0.0007623308611444349,False,bull,sh.000300,11天+
12,4.26,trailing_stop,0.17032967032967022,0.2967032967032966,-0.024725274725274807,sh.600076,2026-01-05,anomaly_no_decline,3.64,0.21030927476035455,0.07017543859649117,银行/金融,0.0007623308611444349,False,bull,sh.000300,11天+
9,4.26,trailing_stop,0.1390374331550801,0.2620320855614972,-0.042780748663101636,sh.600076,2026-01-08,anomaly_no_decline,3.74,0.21030927476035455,0.07017543859649117,银行/金融,0.0007623308611444349,False,bull,sh.000300,6-10天
5,4.26,trailing_stop,0.049261083743842415,0.16256157635467985,0.002463054187192285,sh.600076,2026-01-14,bullish_engulfing,4.06,0.21030927476035455,0.07017543859649117,银行/金融,0.0007623308611444349,False,bull,sh.000300,4-5天
4,4.26,trailing_stop,0.007092198581560132,0.1158392434988178,-0.03782505910165487,sh.600076,2026-01-15,anomaly_no_decline,4.23,0.21030927476035455,0.07017543859649117,银行/金融,0.0007623308611444349,False,bull,sh.000300,4-5天
6,9.38,trailing_stop,0.0732265446224257,0.17620137299771158,-0.009153318077803212,sh.600078,2025-10-24,anomaly_no_decline,8.74,0.30044941144957527,0.1834677419354839,银行/金融,0.0007623308611444349,False,bull,sh.000300,6-10天
5,12.06,trailing_stop,0.2231237322515214,0.4077079107505073,0.024340770791075075,sh.600078,2025-11-05,bullish_engulfing,9.86,0.30044941144957527,0.1834677419354839,银行/金融,0.0007623308611444349,False,range,sh.000300,4-5天
4,13.22,trailing_stop,0.08006535947712422,0.22140522875816984,0.05228758169934645,sh.600078,2026-02-24,bullish_engulfing,12.24,0.3131798176120719,0.19016152716593246,银行/金融,0.0007623308611444349,False,bull,sh.000300,4-5天
9,12.6,trailing_stop,0.008807045636509163,0.1361088871096877,-0.006405124099279429,sh.600078,2026-03-04,anomaly_no_decline,12.49,0.3131798176120719,0.19016152716593246,银行/金融,0.0007623308611444349,False,bear,sh.000300,6-10天
8,12.6,trailing_stop,-0.005524861878453061,0.11996842936069452,-0.018942383583267577,sh.600078,2026-03-05,anomaly_no_decline,12.67,0.3131798176120719,0.19016152716593246,银行/金融,0.0007623308611444349,False,bear,sh.000300,6-10天
11,10.809399999999998,stop_loss,-0.1754843630816172,0.08237986270022885,-0.1960335621662853,sh.600078,2026-03-06,bullish_engulfing,13.11,0.3131798176120719,0.19016152716593246,银行/金融,0.0007623308611444349,False,bear,sh.000300,11天+
14,6.4778,stop_loss,-0.0598258345428156,0.05805515239477509,-0.06966618287372998,sh.600084,2026-03-03,bullish_engulfing,6.89,0.27766236257945653,0.15796178343949036,银行/金融,0.0007623308611444349,False,range,sh.000300,11天+
